att_code,att_cmd_db,enabled,settle_ms
0,0.00,true,20
1,0.50,true,20
2,1.00,true,20
3,1.50,true,20
4,2.00,true,20
5,2.50,true,20
6,3.00,true,20
7,3.50,true,20
8,4.00,true,20
9,4.50,true,20
10,5.00,true,20
11,5.50,true,20
12,6.00,true,20
13,6.50,true,20
14,7.00,true,20
15,7.50,true,20
16,8.00,true,20
17,8.50,true,20
18,9.00,true,20
19,9.50,true,20
20,10.00,true,20
21,10.50,true,20
22,11.00,true,20
23,11.50,true,20
24,12.00,true,20
25,12.50,true,20
26,13.00,true,20
27,13.50,true,20
28,14.00,true,20
29,14.50,true,20
30,15.00,true,20
31,15.50,true,20
32,16.00,true,20
33,16.50,true,20
34,17.00,true,20
35,17.50,true,20
36,18.00,true,20
37,18.50,true,20
38,19.00,true,20
39,19.50,true,20
40,20.00,true,20
41,20.50,true,20
42,21.00,true,20
43,21.50,true,20
44,22.00,true,20
45,22.50,true,20
46,23.00,true,20
47,23.50,true,20
48,24.00,true,20
49,24.50,true,20
50,25.00,true,20
51,25.50,true,20
52,26.00,true,20
53,26.50,true,20
54,27.00,true,20
55,27.50,true,20
56,28.00,true,20
57,28.50,true,20
58,29.00,true,20
59,29.50,true,20
60,30.00,true,20
61,30.50,true,20
62,31.00,true,20
63,31.50,true,30
